f,iid,cd,dn,cs,dt
"false","0","08680307","","Нажаль, Нічого не знайдено.","2017-02-14T10:10:46.2950000+03:00"
"false","0","08680313","","Нажаль, Нічого не знайдено.","2017-02-14T10:10:46.6000000+03:00"
"false","0","08680329","","Нажаль, Нічого не знайдено.","2017-02-14T10:10:46.8920000+03:00"
"false","0","08680336","","Нажаль, Нічого не знайдено.","2017-02-14T10:10:47.1840000+03:00"
"false","0","08680342","","Нажаль, Нічого не знайдено.","2017-02-14T10:10:47.4700000+03:00"
"false","0","08680359","","Нажаль, Нічого не знайдено.","2017-02-14T10:10:47.7620000+03:00"
"true","365548330","08680164",""Підприємство Галицької виправної колонії Управління державної пенітенціарної служби України (№128)"","зареєстровано","2017-02-14T10:10:48.0750000+03:00"
"true","421808330","08680264","Державне підприємство "сільськогосподарське підприємство державної кримінально-виконавчої служби України (№37)"","зареєстровано","2017-02-14T10:10:48.3810000+03:00"
"false","0","30909669","","Нажаль, Нічого не знайдено.","2017-02-14T10:10:48.6720000+03:00"
"false","0","08679860","","Нажаль, Нічого не знайдено.","2017-02-14T10:10:48.9750000+03:00"
"true","365177868","08680572","ДЕРЖАВНЕ ПІДПРИЄМСТВО "ПІДПРИЄМСТВО ОДЕСЬКОЇ ВИПРАВНОЇ КОЛОНІЇ УПРАВЛІННЯ ДЕРЖАВНОЇ ПЕНІТЕНЦІАРНОЇ СЛУЖБИ УКРАЇНИ В ОДЕСЬКІЙ ОБЛАСТІ (№14)"","зареєстровано","2017-02-14T10:10:49.2830000+03:00"
"true","444934711","08680612","ДЕРЖАВНЕ ПІДПРИЄМСТВО "СІЛЬСЬКОГОСПОДАРСЬКЕ ПІДПРИЄМСТВО ДЕРЖАВНОЇ КРИМІНАЛЬНО-ВИКОНОВЧОЇ СЛУЖБИ УКРАЇНИ (№111)"","зареєстровано","2017-02-14T10:10:49.5760000+03:00"
"false","0","08679907","","Нажаль, Нічого не знайдено.","2017-02-14T10:10:49.8740000+03:00"
"true","418116481","08680595","Державне підприємство "Підприємство Державної кримінально-виконавчої служби України (№74)"","зареєстровано","2017-02-14T10:10:50.2270000+03:00"
"false","0","08679959","","Нажаль, Нічого не знайдено.","2017-02-14T10:10:50.5230000+03:00"
"true","122460909","08679899","Державне підприємство "Підприємство Селидівської виправної колонії управління Державної пенітенціарної служби України в Донецькій області (№82)"","зареєстровано","2017-02-14T10:10:50.8260000+03:00"
"false","0","08679853","","Нажаль, Нічого не знайдено.","2017-02-14T10:10:51.1220000+03:00"
"false","0","08679876","","Нажаль, Нічого не знайдено.","2017-02-14T10:10:51.4110000+03:00"
"true","433229503","32314439","Державне підприємство "Підприємство Домницького виправного центру управління Державної пенітенціарної служби України в Чернігівській області (№135)"","зареєстровано","2017-02-14T10:10:52.2970000+03:00"
"false","0","08679882","","Нажаль, Нічого не знайдено.","2017-02-14T10:10:52.5960000+03:00"
"true","469434740","08680589","ДЕРЖАВНЕ ПІДПРИЄМСТВО "ПІДПРИЄМСТВО ДЕРЖАВНОЇ КРИМІНАЛЬНО-ВИКОНАВЧОЇ СЛУЖБИ УКРАЇНИ (№ 51)"","зареєстровано","2017-02-14T10:10:52.8890000+03:00"
"true","472152682","08680017","Державне підприємство “Підприємство Державної кримінально-виконавчої служби України (№8)”","зареєстровано","2017-02-14T10:10:54.3250000+03:00"
"true","417416594","08681057","Державне підприємство "Підприємство Державної кримінально-виконавчої служби України (№62)"","зареєстровано","2017-02-14T10:10:54.7260000+03:00"
"true","470757753","08679965","Державне підриємство "Підпрємство Державної кримінально-виконавчої служби України (№138)","зареєстровано","2017-02-14T10:10:55.0610000+03:00"
"true","364309698","08679924","Державне підприємство "Підприємство Приазовської виправної колонії управління Державної пенітенціарної служби України в Донецькій області (№107)"","зареєстровано","2017-02-14T10:10:55.7690000+03:00"
"true","443282825","08681100","Державне підприємство "Підприємство Державної кримінально-виконавчої служби України (№91)"","зареєстровано","2017-02-14T10:10:56.0740000+03:00"
"true","364512296","08681139","ДП "Підприємство Сокирянської виправної колонії 67"","зареєстровано","2017-02-14T10:10:56.4270000+03:00"
"false","0","08679913","","Нажаль, Нічого не знайдено.","2017-02-14T10:10:56.7140000+03:00"
"true","359891844","08681074","Державне підприємство "Підприємство Уманської виправної колонії управління Державної пенітенціарної служби України у Черкаській області (№129)"","зареєстровано","2017-02-14T10:10:57.0020000+03:00"
"true","364644743","08681063","Державне підприємство"Підприємство Старобабанівської виправної кої колонії (№92)"","зареєстровано","2017-02-14T10:10:57.3110000+03:00"
"true","365329935","08681086","ДЕРЖАВНЕ ПІДПРИЄМСТВО "ПІДПРИЄМСТВО ДЕРЖАВНОЇ КРИМІНАЛЬНО-ВИКОНАВЧОЇ СЛУЖБИ УКРАЇНИ (№44)"","зареєстровано","2017-02-14T10:10:57.5980000+03:00"
"false","0","08679936","","Нажаль, Нічого не знайдено.","2017-02-14T10:10:57.8830000+03:00"
"true","119572291","08679818","Державне підприємство "Підприємство Державної кримінально-виконавчої служби України (№2)"","зареєстровано","2017-02-14T10:10:58.2440000+03:00"
"false","0","08679824","","Нажаль, Нічого не знайдено.","2017-02-14T10:10:58.6150000+03:00"
