edrpou,org_id,reg_date,full_name,address,head,r_code,region,activity,bankruptcy
00012256,NA,NA,"УКРАЇНСЬКА ДК ПО ВИКОНАННЮ МОНТАЖНИХ І СПЕЦІАЛЬНИХ БУДІВЕЛЬНИХ РОБІТ ""УКРМОНТАЖСПЕЦБУД""","1034 М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ВУЛИЦЯ ПРОРІЗНА, 15","УКРАЇНСЬКА ДЕРЖАВНА КОРПОРАЦІЯ ПО ВИКОНАННЮ МОНТАЖНИХ І СПЕЦІАЛЬНИХ БУДІВЕЛЬНИХ РОБІТ ""УКРМОНТАЖСПЕЦБУД""",UA-30,Київ,Будівництво житлових і нежитлових будівель,зареєстровано
00015332,121678610,2016-05-31,"УКРАЇНСЬКЕ НАЦІОНАЛЬНЕ ІНФОРМАЦІЙНЕ АГЕНТСТВО ""УКРІНФОРМ""","1001 М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ВУЛИЦЯ БОГДАНА ХМЕЛЬНИЦЬКОГО, 8/16",МІНІСТЕРСТВО ІНФОРМАЦІЙНОЇ ПОЛІТИКИ УКРАЇНИ,UA-30,Київ,Державне управління загального характеру,зареєстровано
00018201,NA,NA,"ПАТ ""УКРНАФТОПРОДУКТ""","М.КИЇВ,ВУЛ.ІВАНА ФРАНКА, 6",ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ,UA-30,Київ,Діяльність головних управлінь (хед-офісів),зареєстровано
00026867,NA,NA,"УКРАЇНСЬКА ДЕРЖАВНА БУДІВЕЛЬНА КОРПОРАЦІЯ ""УКРБУД""","2002 М.КИЇВ, ДНІПРОВСЬКИЙ Р-Н, ВУЛИЦЯ МАРИНИ РАСКОВОЇ, 23","УКРАЇНСЬКА ДЕРЖАВНА БУДІВЕЛЬНА КОРПОРАЦІЯ ""УКРБУД""",UA-30,Київ,Консультування з питань комерційної діяльності й керування,зареєстровано
00032112,10149200,2016-03-31,"ПАТ ""ДЕРЖАВНИЙ ЕКСПОРТНО-ІМПОРТНИЙ БАНК УКРАЇНИ""","3150 М.КИЇВ, ГОЛОСІЇВСЬКИЙ Р-Н, ВУЛИЦЯ ГОРЬКОГО, 127",КАБІНЕТ МІНІСТРІВ УКРАЇНИ,UA-30,Київ,Інші види грошового посередництва,зареєстровано
00032129,11210095,2016-03-31,"ПАТ ""ДЕРЖАВНИЙ ОЩАДНИЙ БАНК УКРАЇНИ""","1001 М.КИЇВ, ПЕЧЕРСЬКИЙ Р-Н, ВУЛИЦЯ ГОСПІТАЛЬНА, 12-Г",КАБІНЕТ МІНІСТРІВ УКРАЇНИ,UA-30,Київ,Інші види грошового посередництва,зареєстровано
00034861,NA,NA,"УКРАЇНСЬКА ДК ПО ТРАНСПОРТНОМУ БУДІВНИЦТВУ ""УКРТРАНСБУД""","3049 М.КИЇВ, СОЛОМ'ЯНСЬКИЙ Р-Н, ВУЛИЦЯ БОГДАНІВСЬКА, 3","УКРАЇНСЬКА ДЕРЖАВНА КОРПОРАЦІЯ ПО ТРАНСПОРТНОМУ БУДІВНИЦТВУ ""УКРТРАНСБУД""",UA-30,Київ,Курирування діяльності у сфері економіки,в стані припинення
00036044,NA,NA,"ДАК ""УКРРЕСУРСИ""","М.КИЇВ,ПРОВУЛ.МУЗЕЙНИЙ,10",МІНІСТЕРСТВО ЕКОНОМІЧНОГО РОЗВИТКУ І ТОРГІВЛІ УКРАЇНИ,UA-30,Київ,Діяльність головних управлінь (хед-офісів),в стані припинення
00041467,NA,NA,ДЕРЖАВНА ІННОВАЦІЙНА ФІНАНСОВО-КРЕДИТНА УСТАНОВА,"1601 М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ВУЛИЦЯ БОГДАНА ХМЕЛЬНИЦЬКОГО, 65-Б",МІНІСТЕРСТВО ЕКОНОМІЧНОГО РОЗВИТКУ І ТОРГІВЛІ УКРАЇНИ,UA-30,Київ,"Трасти, фонди та подібні фінансові суб'єкти",зареєстровано
00100227,23288663,2016-03-31,"ДП ""НАЦІОНАЛЬНА ЕНЕРГЕТИЧНА КОМПАНІЯ ""УКРЕНЕРГО""","1032 М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ВУЛИЦЯ СИМОНА ПЕТЛЮРИ, 25",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-30,Київ,Передача електроенергії,зареєстровано
00113968,161719383,2016-07-31,"ДП ""КИЇВСЬКИЙ ІНСТИТУТ ІНЖЕНЕРНИХ ВИШУКУВАНЬ І ДОСЛІДЖЕНЬ ""ЕНЕРГОПРОЕКТ""","1135 М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ПРОСПЕКТ ПЕРЕМОГИ, 4",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-30,Київ,"Діяльність у сфері інжинірингу, геології та геодезії, надання послуг технічного консультування в цих",зареєстровано
00113980,133548563,2016-06-30,"УКРАЇНСЬКИЙ ПРОЕКТНИЙ І КОНСТРУКТОРСЬКО-ТЕХНОЛОГІЧНИЙ ІНСТИТУТ ""АТОМЕНЕРГОБУДПРОЕКТ""","3110 М.КИЇВ, СОЛОМ'ЯНСЬКИЙ Р-Н, ВУЛИЦЯ СОЛОМ'ЯНСЬКА, 5",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-30,Київ,"Діяльність у сфері інжинірингу, геології та геодезії, надання послуг технічного консультування в цих",зареєстровано
00114092,NA,NA,"ДЕРЖАВНИЙ ПРОЕКТНО-ВИШУКУВАЛЬНИЙ ТА НДІ ""УКРЕНЕРГОМЕРЕЖПРОЕКТ""","61050 М.ХАРКІВ, ЧЕРВОНОЗАВОДСЬКИЙ Р-Н, НАБЕРЕЖНА ЧЕРВОНОШКІЛЬНА, 2",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-63,Харківська,Діяльність у сфері архітектури,зареєстровано
00116903,NA,NA,ДП ПЕРЕСУВНА МЕХАНІЗОВАНА КОЛОНА № 256,"86020 ДОНЕЦЬКА ОБЛ., ЯСИНУВАТСЬКИЙ Р-Н, СМТ ОЧЕРЕТИНЕ, ПРОСПЕКТ ПОШТОВИЙ, АБК",ДЕРЖАВНЕ АГЕНТСТВО ВОДНИХ РЕСУРСІВ УКРАЇНИ,UA-14,ОРДЛО,"Будівництво магістральних трубопроводів, ліній зв'язку та енергопостачання",в стані припинення
00130044,249962976,2016-08-31,"ДП ""ЛЬВІВСЬКЕ КОНСТРУКТОРСЬКЕ БЮРО""","79060 М.ЛЬВІВ, ФРАНКІВСЬКИЙ Р-Н, ВУЛИЦЯ НАУКОВА, 5",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-46,Львівська,Технічні випробування та дослідження,зареєстровано
00130441,171992471,2016-07-31,"ДП ""НДІ ВИСОКИХ НАПРУГ""","84121 ДОНЕЦЬКА ОБЛ., М.СЛОВ'ЯНСЬК, ВУЛИЦЯ ГЕНЕРАЛА БАТЮКА, 22",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,Донецька,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,порушено справу про банкрутство
00130725,361977160,2016-11-30,"ВАТ ""ТЕРНОПІЛЬОБЛЕНЕРГО""","М.ТЕРНОПІЛЬ, ВУЛ.ЕНЕРГЕТИЧНА, 2",ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ,UA-61,Тернопільська,Розподілення електроенергії,зареєстровано
00130820,355403976,2016-11-30,"ПАТ ""ДНІПРОДЗЕРЖИНСЬКА ТЕПЛОЕЛЕКТРОЦЕНТРАЛЬ""","ДНІПРОПЕТРОВСЬКА ОБЛ., М. ДНІПРОДЗЕРЖИНСЬК, ВУЛ. РАДЯНСЬКА, БУД. 2",ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ,UA-12,Дніпропетровська,Виробництво електроенергії,порушено справу про банкрутство
00130850,16665922,2016-03-31,"ДП ""КРИВОРІЗЬКА ТЕПЛОЦЕНТРАЛЬ""","50014 ДНІПРОПЕТРОВСЬКА ОБЛ., М.КРИВИЙ РІГ, ЖОВТНЕВИЙ Р-Н, ВУЛИЦЯ ЕЛЕКТРИЧНА, 1",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-12,Дніпропетровська,"Постачання пари, гарячої води та кондиційованого повітря",зареєстровано
00130926,28555281,2016-03-31,"ВАТ ""ЗАПОРІЖЖЯОБЛЕНЕРГО""","ЗАПОРІЗЬКА ОБЛ., М.ЗАПОРІЖЖЯ, ВУЛ.СТАЛЕВАРІВ, БУД. 14",ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ,UA-23,Запорізька,Розподілення електроенергії,зареєстровано
00131050,124581447,2016-05-31,"ДП ""СЄВЄРОДОНЕЦЬКА ТЕПЛОЕЛЕКТРОЦЕНТРАЛЬ""","93403 ЛУГАНСЬКА ОБЛ., М.СЄВЄРОДОНЕЦЬК, СЄВЄРОДОНЕЦЬКА ТЕЦ",ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ,UA-09,Луганська,Виробництво електроенергії,порушено справу про банкрутство
00131067,NA,NA,"ДП ""ЛИСИЧАНСЬКА ТЕПЛОЕЛЕКТРОЦЕНТРАЛЬ""","93105 ЛУГАНСЬКА ОБЛ., М.ЛИСИЧАНСЬК, ВУЛИЦЯ ЕНЕРГЕТИКІВ, 98",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-09,Луганська,Виробництво електроенергії,в стані припинення
00131771,119905371,2016-05-31,"ПАТ ""ХЕРСОНСЬКА ТЕПЛОЕЛЕКТРОЦЕНТРАЛЬ""","ХЕРСОНСЬКА ОБЛ., М. ХЕРСОН, БЕРИСЛАВСЬКЕ ШОСЕ, БУД. 1",ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ,UA-65,Херсонська,"Постачання пари, гарячої води та кондиційованого повітря",зареєстровано
00131954,363093262,2016-11-30,"АКЦІОНЕРНА КОМПАНІЯ ""ХАРКІВОБЛЕНЕРГО""","ХАРКІВСЬКА ОБЛ., М. ХАРКІВ, КОМІНТЕРНІВСЬКИЙ РАЙОН, ВУЛ.ПЛЕХАНІВСЬКА,149",ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ,UA-63,Харківська,Розподілення електроенергії,зареєстровано
00132842,NA,NA,"ДП З КОМПЛЕКТНОЇ ПОСТАВКИ УСТАТКУВАННЯ ""УКРЕНЕРГОКОМПЛЕКТ""","4112 М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ВУЛИЦЯ ДОРОГОЖИЦЬКА, 11/8",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-30,Київ,"Діяльність посередників у торгівлі машинами, промисловим устаткованням, суднами та літаками",зареєстровано
00147921,NA,NA,"ДП ""ПОЛТАВСЬКЕ УПРАВЛІННЯ ГЕОФІЗИЧНИХ РОБІТ""","36007 М.ПОЛТАВА, КИЇВСЬКИЙ Р-Н, ВУЛИЦЯ ЗАВОДСЬКА, 16",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-53,Полтавська,"Діяльність у сфері інжинірингу, геології та геодезії, надання послуг технічного консультування в цих",зареєстровано
00149943,NA,NA,"ДП УКРАЇНСЬКИЙ НДІ НАФТОПЕРЕРОБНОЇ ПРОМИСЛОВОСТІ ""МАСМА""","3680 М.КИЇВ, СВЯТОШИНСЬКИЙ Р-Н, ПРОСПЕКТ АКАДЕМІКА ПАЛЛАДІНА, 46",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-30,Київ,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
00150113,249710840,2016-08-31,"ДП ""ЛЬВІВСЬКИЙ ДЕРЖАВНИЙ ІНСТИТУТ З ПРОЕКТУВАННЯ НАФТОПЕРЕРОБНИХ І НАФТОХІМІЧНИХ ПІДПРИЄМСТВ ""ЛЬВІВДІПРОНАФТОХІМ""","79039 М.ЛЬВІВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ВУЛИЦЯ ЗОЛОТА, 8",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-46,Львівська,Діяльність у сфері архітектури,зареєстровано
00151644,NA,NA,"ДП ""НДІ ""ЕЛАСТИК""","2090 М.КИЇВ, ДНІПРОВСЬКИЙ Р-Н, ВУЛИЦЯ ПРАЗЬКА, 5",МІНІСТЕРСТВО ЕКОНОМІЧНОГО РОЗВИТКУ І ТОРГІВЛІ УКРАЇНИ,UA-30,Київ,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
00152052,NA,NA,ДЕРЖАВНИЙ НДІ ВЕЛИКОГАБАРИТНИХ ШИН,"49033 М.ДНІПРОПЕТРОВСЬК, БАБУШКІНСЬКИЙ Р-Н, ВУЛИЦЯ БОРИСА КРОТОВА, 16",МІНІСТЕРСТВО ЕКОНОМІЧНОГО РОЗВИТКУ І ТОРГІВЛІ УКРАЇНИ,UA-12,Дніпропетровська,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
00152135,NA,NA,"ДП ""УКРАЇНСЬКИЙ НАУКОВО-ДОСЛІДНИЙ КОНСТРУКТОРСЬКО-ТЕХНОЛОГІЧНИЙ ІНСТИТУТ ЕЛАСТОМЕРНИХ МАТЕРІАЛІВ І ВИРОБІВ""","49033 М.ДНІПРОПЕТРОВСЬК, БАБУШКІНСЬКИЙ Р-Н, ВУЛИЦЯ БОРИСА КРОТОВА, 24 А","ДЕРЖАВНИЙ КОНЦЕРН ""УКРОБОРОНПРОМ""",UA-12,Дніпропетровська,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
00152365,NA,NA,"ПАТ ""АЗОВСЬКІ МАСТИЛА І ОЛИВИ"" (ПАТ ""АЗМОЛ"")",БЕРДЯНСЬКИЙ Р-Н М. БЕРДЯНСЬК ВУЛ. ШАУМЯНА 2,ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ,UA-23,Запорізька,Виробництво продуктів нафтоперероблення,в стані припинення
00152402,204819087,2016-07-31,"ДП ""ДАШАВСЬКИЙ ЗАВОД КОМПОЗИЦІЙНИХ МАТЕРІАЛІВ""","82443 ЛЬВІВСЬКА ОБЛ., СТРИЙСЬКИЙ Р-Н, СМТ ДАШАВА",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-46,Львівська,Виробництво неметалевих мінеральних виробів,зареєстровано
00152448,NA,NA,"ПАТ ""БІЛОЦЕРКІВСЬКИЙ ЗАВОД ГУМОВИХ ТЕХНІЧНИХ ВИРОБІВ""","КИІВСЬКА ОБЛ., М.БІЛА ЦЕРКВА, ВУЛ. ЛЕВАНЕВСЬКОГО, 85",ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ,UA-32,Київська,Виробництво інших гумових виробів,зареєстровано
00152595,NA,NA,"ДП ""КИЇВСЬКА ЛІСОВА НАУКОВО-ДОСЛІДНА СТАНЦІЯ""","7352 КИЇВСЬКА ОБЛ., ВИШГОРОДСЬКИЙ Р-Н, С.ЛЮТІЖ",ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,UA-32,Київська,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
00152603,59549164,2016-03-31,"ДП ""ВОЛОДИМИРІВСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","56065 МИКОЛАЇВСЬКА ОБЛ., КАЗАНКІВСЬКИЙ Р-Н, С.ВОЛОДИМИРІВКА, ВУЛИЦЯ РАДЯНСЬКА, 108",ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,UA-48,Миколаївська,Надання допоміжних послуг у лісовому господарстві,зареєстровано
00159284,NA,NA,"ДП ""ІНСТИТУТ КОМПЛЕКСНОЇ МЕХАНІЗАЦІЇ ОЧИСНИХ ТА ПІДГОТОВЧИХ РОБІТ""","91055 М.ЛУГАНСЬК, ЛЕНІНСЬКИЙ Р-Н, ВУЛИЦЯ ЛЕНІНА, 38",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-09,ОРДЛО,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,в стані припинення
00159367,13060024,2016-03-31,ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН,"93106 ЛУГАНСЬКА ОБЛ., М.ЛИСИЧАНСЬК, ВУЛИЦЯ СВЕРДЛОВА, 197",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-09,Луганська,Діяльність пожежних служб,зареєстровано
00159373,NA,NA,СЬОМИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН,"93100 ЛУГАНСЬКА ОБЛ., М.ЛИСИЧАНСЬК, ВУЛИЦЯ ВОРОШИЛОВА, 5",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-09,Луганська,Технічні випробування та дослідження,зареєстровано
00159396,NA,NA,П'ЯТИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН,"93100 ЛУГАНСЬКА ОБЛ., М.ЛИСИЧАНСЬК, ВУЛИЦЯ СВЕРДЛОВА, 197",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-09,Луганська,Діяльність пожежних служб,зареєстровано
00159427,15018311,2016-03-31,ВОСЬМИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН,"51400 ДНІПРОПЕТРОВСЬКА ОБЛ., М.ПАВЛОГРАД, ВУЛИЦЯ ДНІПРОВСЬКА, 597",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-12,Дніпропетровська,Діяльність пожежних служб,зареєстровано
00159441,NA,NA,ОПЕРАТИВНИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН,"85670 ДОНЕЦЬКА ОБЛ., М.ВУГЛЕДАР, ВУЛИЦЯ ТРИФОНОВА, 48 А",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,Донецька,Діяльність пожежних служб,зареєстровано
00159456,NA,NA,ПЕРШИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН,"85204 ДОНЕЦЬКА ОБЛ., М.ДЗЕРЖИНСЬК, ВУЛИЦЯ КІРОВА, 25А",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,Донецька,Діяльність пожежних служб,зареєстровано
00159462,9283207,2016-03-31,ДЕСЯТИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН,"85323 ДОНЕЦЬКА ОБЛ., М.ДИМИТРОВ, ПРОВУЛОК РОБОЧИЙ, 1",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,Донецька,Діяльність пожежних служб,зареєстровано
00159479,NA,NA,ШОСТИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН,"85322 ДОНЕЦЬКА ОБЛ., М.ДИМИТРОВ, ПРОВУЛОК РОБОЧИЙ, 1",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,Донецька,Діяльність пожежних служб,зареєстровано
00159485,NA,NA,ТРЕТІЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН,"85320 ДОНЕЦЬКА ОБЛ., М.ДИМИТРОВ, ПРОВУЛОК РОБОЧИЙ, 1",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,Донецька,Діяльність пожежних служб,зареєстровано
00165652,NA,NA,"ПАТ ""АРТЕМІВСЬКИЙ МАШИНОБУДІВНИЙ ЗАВОД ""ПОБЄДА ТРУДА""","ДОНЕЦЬКА ОБЛ, М.АРТЕМІВСЬК, ВУЛ.АРТЕМА,6",ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ,UA-14,Донецька,Виробництво машин і устатковання для добувної промисловості та будівництва,порушено справу про банкрутство
00167606,NA,NA,"ДП ""ПРОЕКТУВАННЯ БУДІВНИЦТВА ПІДПРИЄМСТВ ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ ""ПІВДЕНДІПРОШАХТ""","61057 М.ХАРКІВ, КИЇВСЬКИЙ Р-Н, ВУЛИЦЯ ПУШКІНСЬКА, 5",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-63,Харківська,"Діяльність у сфері інжинірингу, геології та геодезії, надання послуг технічного консультування в цих",припинено
00168550,NA,NA,"ДП ""ДЕРЖАВНА ІНВЕСТИЦІЙНА ЕКСПЕРТИЗА ВУГІЛЬНОЇ ГАЛУЗІ ""УКРВУГЛЕІНВЕСТЕКСПЕРТИЗА""","83000 М.ДОНЕЦЬК, ВОРОШИЛОВСЬКИЙ Р-Н, ВУЛИЦЯ АРТЕМА, 97",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,ОРДЛО,Діяльність у сфері архітектури,зареєстровано
00170096,NA,NA,"ДП ""РЕГІОНАЛЬНЕ ВИРОБНИЧЕ ОБ'ЄДНАННЯ ""УКРВУГЛЕЕКОЛОГІЯ""","91021 М.ЛУГАНСЬК, АРТЕМІВСЬКИЙ Р-Н, КВАРТАЛ ГАЙОВОГО 6 А",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-09,ОРДЛО,Діяльність головних управлінь (хед-офісів),в стані припинення
00171121,NA,NA,"ДВАТ ""ЗАВОД ПО РЕМОНТУ ГШО ""СУПУТНИК""","94300 ЛУГАНСЬКА ОБЛ., ПЕРЕВАЛЬСЬКИЙ Р-Н, М.ПЕРЕВАЛЬСЬК, ВУЛИЦЯ ДЗЕРЖИНСЬКОГО, 25",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-09,ОРДЛО,Ремонт і технічне обслуговування машин і устатковання промислового призначення,в стані припинення
00171144,NA,NA,"ДП ""ДОНБАСЬКИЙ НАУКОВО-ДОСЛІДНИЙ І ПРОЕКТНО-КОНСТРУКТОРСЬКИЙ ВУГІЛЬНИЙ ІНСТИТУТ""","84601 ДОНЕЦЬКА ОБЛ., М.ГОРЛІВКА, ЦЕНТРАЛЬНО-МІСЬКИЙ Р-Н, ПРОСПЕКТ ЛЕНІНА, 2",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,ОРДЛО,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,в стані припинення
00174036,NA,NA,ПАТ НАУКОВО-ДОСЛІДНИЙ ТА ПРОЕКТНО-КОНСТРУКТОРСЬКИЙ ІНСТИТУТ З АВТОМАТИЗАЦІЇ ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ,"91047 М.ЛУГАНСЬК, ЛЕНІНСЬКИЙ Р-Н, ВУЛИЦЯ ОБОРОННА, 32 А",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-09,ОРДЛО,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
00174071,NA,NA,"ВАТ ""ДОНЕЦЬКИЙ ПРОЕКТНО-КОНСТРУКТОРСЬКИЙ ТЕХНОЛОГІЧНИЙ ІНСТИТУТ""","М. ДОНЕЦЬК, ПРОСП. ІЛЛІЧА, 89",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,ОРДЛО,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,порушено справу про банкрутство
00174088,NA,NA,ДП ДЕРЖАВНИЙ МАКІЇВСЬКИЙ НДІ З БЕЗПЕКИ РОБІТ У ГІРНИЧІЙ ПРОМИСЛОВОСТІ,"86108 ДОНЕЦЬКА ОБЛ., М.МАКІЇВКА, ГІРНИЦЬКИЙ Р-Н, ВУЛИЦЯ ЛИХАЧОВА, 60",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,ОРДЛО,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
00174102,NA,NA,"НДІ ГІРНИЧОРЯТУВАЛЬНОЇ СПРАВИ ТА ПОЖЕЖНОЇ БЕЗПЕКИ ""РЕСПІРАТОР""","83048 М.ДОНЕЦЬК, КИЇВСЬКИЙ Р-Н, ВУЛИЦЯ АРТЕМА, 157",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,ОРДЛО,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
