edrpou,org_id,reg_date,full_name,address,head,r_code,region,activity,bankruptcy
00498052,NA,NA,"ДЕРЖАВНЕ СІЛЬСЬКОГОСПОДАРСЬКЕ ПІДПРИЄМСТВО ""ХОРТИЦЯ""","69017 М.ЗАПОРІЖЖЯ, ОРДЖОНІКІДЗЕВСЬКИЙ Р-Н, ОСТРІВ ХОРТИЦЯ",МІНІСТЕРСТВО КУЛЬТУРИ УКРАЇНИ,UA-23,Запорізька,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",в стані припинення
00498069,NA,NA,"ДП ""СВІТАНОК""","70403 ЗАПОРІЗЬКА ОБЛ., ЗАПОРІЗЬКИЙ Р-Н, С.АВГУСТИНІВКА, ВУЛИЦЯ ЛЕНІНА, 4",МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА УКРАЇНИ,UA-23,Запорізька,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",зареєстровано
00659101,NA,NA,"ПрАТ ""ДНІПРОПЕТРОВСЬКИЙ ТЕПЛОВОЗОРЕМОНТНИЙ ЗАВОД""","49038 М.ДНІПРОПЕТРОВСЬК, КІРОВСЬКИЙ Р-Н, ВУЛИЦЯ ЧЕРВОНОЗАВОДСЬКА, 7",МІНІСТЕРСТВО ІНФРАСТРУКТУРИ УКРАЇНИ,UA-12,Дніпропетровська,NA,зареєстровано
00686247,NA,NA,"ДП ""МАРІУПОЛЬСЬКИЙ ВЕТСАНЗАВОД""","87430 ДОНЕЦЬКА ОБЛ., ПЕРШОТРАВНЕВИЙ Р-Н, С.РАДЯНСЬКА УКРАЇНА, ВУЛИЦЯ КОМАРОВА, 20",ДЕРЖАВНА ВЕТЕРИНАРНА ТА ФІТОСАНІТАРНА СЛУЖБА УКРАЇНИ,UA-14,Донецька,"Виробництво готових кормів для тварин, що утримуються на фермах",в стані припинення
00686374,NA,NA,ЛОЗІВСЬКЕ ДП КОРМОВИХ ДОМІШОК,"64662 ХАРКІВСЬКА ОБЛ., ЛОЗІВСЬКИЙ Р-Н, С.КАТЕРИНІВКА, ВУЛИЦЯ СТЕПОВА, 1",МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА УКРАЇНИ,UA-63,Харківська,"Виробництво готових кормів для тварин, що утримуються на фермах",в стані припинення
00689102,NA,NA,"КАЛИНІВСЬКИЙ ДЕРЖАВНИЙ ЗАВОД ПО ВИРОБНИЦТВУ М'ЯСО-КІСТКОВОГО БОРОШНА ""ВЕТСАНЗАВОД""","22447 ВІННИЦЬКА ОБЛ., КАЛИНІВСЬКИЙ Р-Н, С-ЩЕ ГУЛІВЦІ",ДЕРЖАВНА ВЕТЕРИНАРНА ТА ФІТОСАНІТАРНА СЛУЖБА УКРАЇНИ,UA-05,Вінницька,Надання послуг у тваринництві,в стані припинення
00689177,105942656,2016-04-30,"ДП ""ДНІПРОПЕТРОВСЬКИЙ НАУКОВО-ДОСЛІДНИЙ ТА ПРОЕКТНИЙ ІНСТИТУТ ЗЕМЛЕУСТРОЮ""","52005 ДНІПРОПЕТРОВСЬКА ОБЛ., ДНІПРОПЕТРОВСЬКИЙ Р-Н, СМТ ЮВІЛЕЙНЕ, ВУЛИЦЯ РАДГОСПНА, 42","ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ ГЕОДЕЗІЇ, КАРТОГРАФІЇ ТА КАДАСТРУ",UA-12,Дніпропетровська,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
00689183,107253771,2016-04-30,"ДП ""ДОНЕЦЬКИЙ НАУКОВО-ДОСЛІДНИЙ ТА ПРОЕКТНИЙ ІНСТИТУТ ЗЕМЛЕУСТРОЮ""","83049 М.ДОНЕЦЬК, КУЙБИШЕВСЬКИЙ Р-Н, ВУЛИЦЯ КУЙБИШЕВА, 75-В","ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ ГЕОДЕЗІЇ, КАРТОГРАФІЇ ТА КАДАСТРУ",UA-14,ОРДЛО,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
00689190,106882261,2016-04-30,"ДП ""ІВАНО-ФРАНКІВСЬКИЙ НАУКОВО-ДОСЛІДНИЙ ТА ПРОЕКТНИЙ ІНСТИТУТ ЗЕМЛЕУСТРОЮ""","76014 М.ІВАНО-ФРАНКІВСЬК, ВУЛИЦЯ АКАДЕМІКА САХАРОВА, 34","ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ ГЕОДЕЗІЇ, КАРТОГРАФІЇ ТА КАДАСТРУ",UA-26,Івано-Франківська,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
00689208,NA,NA,"ДП ""КРИМСЬКИЙ НАУКОВО-ДОСЛІДНИЙ ТА ПРОЕКТНИЙ ІНСТИТУТ ЗЕМЛЕУСТРОЮ""","95038 М.СІМФЕРОПОЛЬ, КИЇВСЬКИЙ Р-Н, ВУЛИЦЯ КЕЧКЕМЕТСЬКА, 114","ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ ГЕОДЕЗІЇ, КАРТОГРАФІЇ ТА КАДАСТРУ",UA-43,АР Крим,"Діяльність у сфері інжинірингу, геології та геодезії, надання послуг технічного консультування в цих",зареєстровано
